Date & Time,Index 1,Index 2,Index 3,Index 4,Index 5,Open Price,High Price,Low Price,Close Price,VA1,VA2,VA3,VA4,VA5,EST,TVA1,TVA2,TVA3,TVA4,ROC1,ROC2,ROC3,ROC4
2020.04.07 09:00,0,5.94,94.91,0,0,0.97605,0.97674,0.97379,0.97399,0,-64.62,-32418.38,0,0,2:00,-4986.9,-12393.98,-19817.98,-32483,-1246.72,-3098.49,-4954.49,-8120.75
2020.04.07 10:00,0,0,100.85,0,0,0.97398,0.97414,0.97237,0.97283,0,0,-50941.86,0,0,3:00,-13484.38,-26928.68,-40600.64,-50941.86,-3371.09,-6732.17,-10150.16,-12735.47
2020.04.07 11:00,0,0,100.85,0,0,0.97284,0.97398,0.97265,0.97278,0,0,-44070.63,0,0,4:00,-10401.5,-22712.47,-32962.37,-44070.63,-2600.38,-5678.12,-8240.59,-11017.66
2020.04.07 12:00,0,0,100.85,0,0,0.97277,0.974,0.97258,0.97311,0,0,-57914.02,0,0,5:00,-14799.73,-29595.32,-43809.18,-57914.02,-3699.93,-7398.83,-10952.3,-14478.5
2020.04.07 13:00,0,0,100.85,0,0,0.97312,0.97322,0.97191,0.97314,0,0,-57575.7,0,0,6:00,-15324.08,-30017.86,-43954.49,-57575.7,-3831.02,-7504.47,-10988.62,-14393.92
2020.04.07 14:00,0,0,100.85,0,0,0.97315,0.97394,0.97211,0.97225,0,0,-35296.8,0,0,7:00,-9269.32,-16922.07,-23095.67,-35296.8,-2317.33,-4230.52,-5773.92,-8824.2
2020.04.07 15:00,0,0,100.85,0,0,0.97226,0.97287,0.9697,0.97048,0,0,-58665.1,0,0,8:00,-14589.08,-30581.53,-44385.88,-58665.1,-3647.27,-7645.38,-11096.47,-14666.27
2020.04.07 16:00,0,0,100.85,0,0,0.97047,0.97107,0.96895,0.96949,0,0,-64379.12,0,0,9:00,-15304.22,-32449.79,-48588.62,-64379.12,-3826.05,-8112.45,-12147.16,-16094.78
2020.04.07 17:00,0,0,100.85,0,0,0.96954,0.97133,0.96896,0.97124,0,0,-56106.09,0,0,10:00,-15067.09,-30375.71,-44565.18,-56106.09,-3766.77,-7593.93,-11141.3,-14026.52
2020.04.07 18:00,0,0,100.85,0,0,0.97125,0.97169,0.97013,0.97067,0,0,-22001.26,0,0,11:00,-3785.77,-10454.56,-15647.73,-22001.26,-946.44,-2613.64,-3911.93,-5500.31
